Date,Open,High,Low,Close,Adj Close,Volume
2023-08-24,4537.500000,4575.000000,4537.500000,4562.500000,4354.409180,28494200
2023-08-25,4550.000000,4562.500000,4525.000000,4550.000000,4342.479004,27453200
2023-08-28,4550.000000,4575.000000,4537.500000,4550.000000,4342.479004,21944400
2023-08-29,4550.000000,4600.000000,4550.000000,4575.000000,4366.338867,49788000
2023-08-30,4587.500000,4650.000000,4587.500000,4600.000000,4390.198730,83251800
2023-08-31,4600.000000,4625.000000,4587.500000,4587.500000,4378.268555,64007200
2023-09-01,4600.000000,4612.500000,4587.500000,4587.500000,4378.268555,16703400
2023-09-04,4625.000000,4762.500000,4600.000000,4725.000000,4509.497559,146903600
2023-09-05,4725.000000,4850.000000,4725.000000,4812.500000,4593.006836,100659200
2023-09-06,4837.500000,4837.500000,4787.500000,4787.500000,4569.146973,60567600
2023-09-07,4787.500000,4787.500000,4700.000000,4750.000000,4533.357422,52556600
2023-09-08,4750.000000,4750.000000,4675.000000,4687.500000,4473.708008,49974400
2023-09-11,4687.500000,4750.000000,4650.000000,4725.000000,4509.497559,54934600
2023-09-12,4725.000000,4725.000000,4650.000000,4650.000000,4437.917969,53087200
2023-09-13,4662.500000,4687.500000,4637.500000,4675.000000,4461.777832,44955600
2023-09-14,4700.000000,4750.000000,4675.000000,4725.000000,4509.497559,57207600
2023-09-15,4725.000000,4762.500000,4712.500000,4737.500000,4521.427246,73345200
2023-09-18,4737.500000,4750.000000,4675.000000,4675.000000,4461.777832,32816000
2023-09-19,4687.500000,4762.500000,4675.000000,4725.000000,4509.497559,26575600
2023-09-20,4725.000000,4837.500000,4725.000000,4787.500000,4569.146973,82221800
2023-09-21,4787.500000,4837.500000,4775.000000,4800.000000,4581.076660,56156800
2023-09-22,4825.000000,4937.500000,4800.000000,4875.000000,4652.656250,93225000
2023-09-25,4875.000000,5025.000000,4875.000000,5025.000000,4795.814941,110954800
2023-09-26,5037.500000,5050.000000,4975.000000,4987.500000,4760.024902,127165000
